Time_s,Pos_X,Pos_Y,Theta_rad,State,Worker_Det,Lidar_Front,Lidar_Left,Lidar_Right
0.16,-18.212,0.000,0.000,FORWARD,False,8.52,7.15,4.07
0.32,-18.164,0.000,0.000,FORWARD,False,8.52,7.16,4.05
0.48,-18.116,0.000,0.000,FORWARD,False,8.46,7.14,4.07
0.64,-18.068,0.000,0.000,FORWARD,False,8.45,7.11,4.01
0.80,-18.020,0.000,0.000,FORWARD,False,10.86,7.08,4.17
0.96,-17.972,0.000,0.000,FORWARD,False,10.84,7.08,4.15
1.12,-17.924,0.000,0.000,FORWARD,False,10.75,7.04,4.04
1.28,-17.876,0.000,0.000,FORWARD,False,10.69,7.03,4.21
1.44,-17.828,0.000,0.000,FORWARD,False,10.68,6.99,4.25
1.60,-17.780,0.000,0.000,FORWARD,False,10.61,6.97,4.13
1.76,-17.732,0.000,0.000,FORWARD,False,10.58,6.95,4.28
1.92,-17.684,0.000,0.000,FORWARD,False,10.54,1.73,4.38
2.08,-17.636,0.000,0.000,FORWARD,False,10.49,1.25,4.21
2.24,-17.588,0.000,0.000,FORWARD,False,10.43,4.07,4.34
2.40,-17.540,0.000,0.000,FORWARD,False,10.37,6.87,4.48
2.56,-17.492,0.000,0.000,FORWARD,False,10.36,6.86,4.34
2.72,-17.444,0.000,0.000,FORWARD,False,10.30,6.83,4.42
2.88,-17.396,0.000,0.000,FORWARD,False,10.27,6.81,4.53
3.04,-17.348,0.000,0.000,FORWARD,False,10.22,6.79,4.45
3.20,-17.300,0.000,0.000,FORWARD,False,10.19,6.78,4.51
3.36,-17.252,0.000,0.000,FORWARD,False,10.10,6.75,4.64
3.52,-17.204,0.000,0.000,FORWARD,False,10.07,6.74,4.55
3.68,-17.156,0.000,0.000,FORWARD,False,10.03,6.73,4.64
3.84,-17.108,0.000,0.000,FORWARD,False,9.98,6.72,4.75
4.00,-17.060,0.000,0.000,FORWARD,False,9.93,6.69,4.73
4.16,-17.012,0.000,0.000,FORWARD,False,9.91,6.68,4.71
4.32,-16.964,0.000,0.000,FORWARD,False,9.84,6.65,4.91
4.48,-16.916,0.000,0.000,FORWARD,False,9.80,6.64,4.90
4.64,-16.868,0.000,0.000,FORWARD,False,9.76,6.62,4.74
4.80,-16.820,0.000,0.000,FORWARD,False,9.70,6.60,4.81
4.96,-16.772,0.000,0.000,FORWARD,False,9.66,6.59,4.74
5.12,-16.724,0.000,0.000,FORWARD,False,9.62,6.59,4.61
5.28,-16.676,0.000,0.000,FORWARD,False,9.57,6.57,4.62
5.44,-16.628,0.000,0.000,FORWARD,False,9.53,6.56,4.58
5.60,-16.580,0.000,0.000,FORWARD,False,9.49,6.54,4.52
5.76,-16.532,0.000,0.000,FORWARD,False,9.43,6.52,4.53
5.92,-16.484,0.000,0.000,FORWARD,False,9.40,6.52,4.49
